"bedrijf","bezichtingsduur_select","bookingLink","districtType_select","einddatum_date","eindtijd","eindtijd_time","eventType_select","id","image","kavelfunctie_select","kavelnummer_select","kennisprogramma","latlonlocatie_select","linkType_select","naam_de","naam_en","naam_nl","omschrijvingKort_de","omschrijvingKort_en","omschrijvingKort_nl","omschrijving_de","omschrijving_en","omschrijving_nl","opmerkingen","publiceerbaar","recordType_select","sdgType","semCode","startdatum_date","starttijd_time","tags","themaFloriade","zakelijk"
"[{""created"":""Thu Feb 03 2022 10:02:51 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Hello Zuidas"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-17","19:00",,,"m7C9JAnkPvKkh3O0JORC",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Uitreiking Zuidas Duurzaamheidsprijs ",,,,,,,,,"event",,,"2022-05-17","09:00",,,
"[{""bedrijf"":""Floriade Expo 2022"",""created"":""Thu Feb 03 2022 12:28:29 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-06-23","07:00",,,"oewLbjQTxX7ZyM7DqQ9a",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Eurocities working Group Food",,,,,,,,,"event",,,"2022-06-23","21:00",,,
"[{""created"":""Thu Feb 03 2022 11:24:43 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Civitas adviesgroep"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-06-09","07:00",,,"IgYY6T7ftkYR9eKDLysx",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Lighthouse jaardag",,,,,,,,,"event",,,"2022-06-09","09:00",,,
"[{""bedrijf"":""Energie Ambassadeur"",""created"":""Thu Feb 03 2022 09:26:59 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-04-14","19:00",,,"O1JjjY9RTy72gLkADq2Z",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Ontvangst Woningcorporaties",,,,,,,,,"event",,,"2022-04-14","09:00",,,
"[{""bedrijf"":""Provincie Flevoland"",""created"":""Thu Feb 03 2022 13:41:04 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-09-22","07:00",,,"9cojgVYoSgdkoYQJlC4e",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"OPTIE Kabinettendag",,,,,,,,,"event",,,"2022-09-22","21:00",,,
,"01:00","www.floriade2022germany.com","urban-district",,,,,"WbTLbfu3QXsYeiFXF5g9","biotopia-growing-community-1645696228374","internationaal","66",,"{""cluster"":""66"",""locatie"":""66"",""lon"":""52.35724421259958206"",""lat"":""5.22516297639688254""}","info","BIOTOPIA – Growing Community","Germany BIOTOPIA – Growing Community","Duitsland BIOTOPIA – Growing Community","Im Deutschen Garten „BIOTOPIA – Wachsende Gemeinschaft“ dreht sich alles um Grün und Spaß.","The German Garden ‘BIOTOPIA – Growing Community’ is all about greenery and fun.","The German Garden ‘BIOTOPIA – Growing Community’ gaat over groen en plezier.","Der Deutsche Garten besteht aus einem gartenähnlichen Atrium und einem teilweise 2-geschossigen kubistischen Holzbau mit interaktiver Ausstellung, Dachgarten und begrünten Fassaden. Es bildet ein lebendiges Ökosystem und wird sich mit dem Wachsen der Pflanzen während der Floriade verändern.","The German Garden consists of a garden-style atrium and a partly 2-storey cubist wooden construction with an interactive exhibition, roof garden and green facades. It forms a living ecosystem and will change as the plants grow during the Floriade.     ","De Duitse Tuin bestaat uit een tuinachtig atrium en een kubistische houten constructie, op sommige plaatsen twee verdiepingen hoog, met een interactieve expositie, daktuin en groene gevels. Het vormt een levend ecosysteem en wordt steeds anders als de planten groeien in de loop van Floriade.     ",,,"locatie","[{""created"":""Wed Mar 09 2022 13:50:41 GMT+0100 (CET)"",""sdgType_select"":""sdg-15""},{""created"":""Wed Mar 09 2022 13:50:50 GMT+0100 (CET)"",""sdgType_select"":""sdg-11""}]",,,,,,
,,,"urban-district",,,,,"W4pwgZYKvDHdWCyXZSRB","india-spirituele-tuin-1646397702055","internationaal","50",,"{""cluster"":""50"",""locatie"":""50"",""lon"":""52.35770716198548058"",""lat"":""5.22536556420630927""}",,"Indien - Spiritueller Garten","India - Spiritual garden","India - Spirituele tuin",,,,"Betont den spirituellen Aspekt durch die Aufnahme der bekannten heiligen Formen alter lebender Götter und Göttinnen, einschließlich des mitfühlendsten Buddhas – des Erleuchteten. Kommen Sie, treten Sie ein, beruhigen Sie Ihre Sinne, erinnern Sie sich an die Heiligen und ruhen Sie Ihren Körper und Ihre Seele aus.","Emphasises the spiritual aspect by imbibing the known holy forms of ancient living gods and goddesses including the most compassionate  Buddha-The Enlightened One. Come, Enter, Soothe your senses, remember the holy ones and rest your body and soul.","Het spirituele aspect wordt benadrukt door het opnemen van de bekende heilige vormen van oude levende goden en godinnen, waaronder ook de meest barmhartige: Boeddha de Verlichte. Kom binnen, voel de rust, gedenk de heiligen en ontspan lichaam en geest.",,,"locatie","[{""created"":""Wed Mar 09 2022 13:47:49 GMT+0100 (CET)"",""sdgType_select"":""sdg-3""}]",,,,,,
"[]","00:30",,"green-island",,,,,"DoqOpnZMkAFITlyX1KRI",,"tuinbouw","20",,"{""cluster"":""20"",""locatie"":""20"",""lon"":""52.35871698794165496"",""lat"":""5.22875920425298801""}",,"Koers","Koers","Koers",,"Find out about Koersmix load-bearing, water-permeable and self-repairing semi-paved surfaces. Thanks to their unique eco-friendly properties, these surfaces substantially contribute to climate-proof public space designs.","Maak kennis met de draagkrachtige, waterdoorlatende en zelfherstellende Koersmix halfverhardingen die dankzij hun unieke milieuvriendelijke eigenschappen een substantiële bijdrage leveren aan een klimaatbestendige inrichting van de openbare ruimte.",,,,,,"locatie",,,,,"[""Architectuur"",""Innovatief"",""Buitententoonstelling""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":4},{""themaFloriade_select"":""healthying"",""themaFloriadeRating"":4},{""themaFloriade_select"":""engergizing"",""themaFloriadeRating"":4}]",
,,,"hortus-avenue","2022-09-21","07:00",,,"jouS3Ktx35ho0c2g5Mmr",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Pauline Blokker van MRA bureau ",,,,,,,,,"event",,,"2022-09-21","21:00",,,
,,,"hortus-avenue","2022-09-28","07:00",,,"d1qEDLiYlBrQGdJ1QrWd",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Warmtecongres",,,,,,,,,"event",,,"2022-09-28","21:00",,,
,"01:00",,"urban-district",,,,,"CEUIA7mOz2e9KmnwCZB6",,"horeca","103",,"{""cluster"":""103"",""locatie"":""103"",""lon"":""52.35611154697242853"",""lat"":""5.22575244451754184""}",,"Foodtrucks (3 à 4) en Foodcontrainers (3à 4)","Foodtrucks (3 à 4) en Foodcontrainers (3à 4)","Foodtrucks (3 à 4) en Foodcontrainers (3à 4)",,,"Counter verkoop / Verschillend en inspelend op evt thema(week/weekend)
- cateraar LE2-Local Entrepreneurs
",,,,,,"locatie",,,,,"[""Eten & Drinken""]",,
,,"",,"2022-06-18","19:00",,"",,,,"",,,"","","","Contiki Holland",,"","",,"","Contiki Holland",,,"event",,"1001","2022-06-18","09:00",,,"true"
"[{""created"":""Mon Mar 07 2022 22:58:40 GMT+0100 (Midden-Europese standaardtijd)"",""bedrijf"":""BB-Block/SIGN "",""bedrijfType_select"":""deelnemer"",""bedrijfIndeling_select"":null},{""created"":""Mon Mar 07 2022 22:59:09 GMT+0100 (Midden-Europese standaardtijd)"",""bedrijf"":""Groei & Bloei"",""bedrijfType_select"":""deelnemer"",""bedrijfIndeling_select"":null}]","01:00",,,,,,,"Hzzf4lMXBp94q0x8FVGX","tiny-houses-1646690375718","nationaal","80",,"{""cluster"":""80"",""locatie"":""80"",""lon"":""52.35588549028771155"",""lat"":""5.23322850075304036""}",,"Tiny Houses","Tiny Houses","Tiny Houses",,,,,,,"[{""created"":""Mon Mar 07 2022 22:58:17 GMT+0100 (Midden-Europese standaardtijd)"",""opmerking"":""Deze kavel heeft 4 inzendingen onder zich.\n""}]",,"locatie",,,,,"[""Expositie"",""Architectuur""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":5}]",
"[{""bedrijf"":""Nederlandse vereniging van grondbedrijven (VNG)"",""created"":""Thu Feb 03 2022 10:06:59 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-18","19:00",,,"pBIVYrw5ounpChd0cgY0",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Voorjaarscongres 2022",,,,,,,,,"event",,,"2022-05-18","09:00",,,
,,"",,"2022-05-31","19:00",,"",,,,"",,,"","","","Symposium - 80 jarig bestaan",,"","",,"","Symposium - 80 jarig bestaan",,,"event",,"1014","2022-05-31","09:00",,,"true"
,,"https://belexpo.be/en/floriade","urban-district",,,,,"Tay7hURxOxCQeM8fmTdg","belgie-the-regenerative-belgian-garden--1646401935983","internationaal","36",,"{""cluster"":""36"",""locatie"":""36"",""lon"":""52.35803578459773178"",""lat"":""5.22663313991690703""}","info","Belgien - Der Regenerative Belgische Garten","Belgium - The Regenerative Belgian Garden ","Belgie - The Regenerative Belgian Garden ","In diesem ökologischen belgischen Garten können Sie essbare Blumen probieren, grüne Innovationen entdecken und eine schöne Auswahl an Blumen, Pflanzen und Bäumen genießen.","In this ecological Belgian garden you can taste edible flowers, discover green innovations and enjoy a beautiful selection of flowers, plants and trees.","In deze ecologische Belgische tuin proef je van eetbare bloemen, ontdek je groene innovaties en geniet van een prachtige selectie van bloemen, planten en bomen.","Entdecken Sie die typischen belgischen Pflanzen, probieren Sie essbare Blumen, hinterlassen Sie Ihren Abdruck auf der Erdwand des Pavillons: Hier wird sich jeder wohlfühlen! Belgien zeigt auch die neuesten grünen Erfindungen. Fast alle verwendeten Materialien sind vollständig wiederverwendbar, kohlenstoffarm oder natürlich.","Discover the typical Belgian plants, taste edible flowers, leave your print on the earthen wall of the pavilion: everyone will have a great time here! Belgium also shows the latest green inventions. Almost all materials used are fully reusable, low carbon or natural.","Ontdek de typisch Belgische planten, proef eetbare bloemen, laat je afdruk achter op de aarden muur van het paviljoen: iedereen zal hier een toptijd beleven! Belgie toont ook de nieuwste groene uitvindingen. Vrijwel alle gebruikte materialen zijn volledig herbruikbaar, koolstofarm of natuurlijk.",,,"locatie","[{""created"":""Wed Mar 09 2022 13:45:11 GMT+0100 (CET)"",""sdgType_select"":""sdg-3""},{""created"":""Wed Mar 09 2022 13:45:22 GMT+0100 (CET)"",""sdgType_select"":""sdg-7""},{""created"":""Wed Mar 09 2022 13:45:23 GMT+0100 (CET)"",""sdgType_select"":""sdg-9""},{""created"":""Wed Mar 09 2022 13:45:24 GMT+0100 (CET)"",""sdgType_select"":""sdg-15""}]",,,,,,
,,,,,,,,"Y1PTUasX2Dj9Q92TP34n",,"nationaal","82",,"{""cluster"":""82"",""locatie"":""82"",""lon"":""52.35693904058959447"",""lat"":""5.22383792542121572""}",,"Pop-up Village","Pop-up Village","Pop-up Village",,,,,,,,,"locatie",,,,,,,
"[{""created"":""Thu Feb 03 2022 09:45:20 GMT+0100 (Central European Standard Time)"",""bedrijf"":""RVS"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-11","07:00",,,"l3l6xxJFt5c0ZlE3OMt2",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Regionaal overleg burgemeester",,,,,,,,,"event",,,"2022-05-11","09:00",,,
"[{""bedrijf"":""Amsterdam & Partners"",""created"":""Thu Feb 03 2022 12:23:08 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-06-21","07:00",,,"ZYdlNbbHZun6egt7Y1IK",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Netwerkbijeenkomst Amsterdam & Partners",,,,,,,,,"event",,,"2022-06-21","21:00",,,
,,"",,"2022-06-21","19:00",,"",,,,"",,,"","","","Netwerkbijeenkomst Amsterdam & Partners",,"","",,"","Netwerkbijeenkomst Amsterdam & Partners",,,"event",,"1109","2022-06-21","09:00",,,"true"
"[{""created"":""Thu Feb 03 2022 10:21:35 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Voedingscentrum"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-31","19:00",,,"WrTXya07Go0bMNR5qqGI",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Symposium - 80 jarig bestaan",,,,,,,,,"event",,,"2022-05-31","09:00",,,
,"01:00",,"hortus-avenue",,,,,"d1Sgd5TguL0VPZ3F2aRI",,"tuinbouw","112",,"{""cluster"":""112"",""locatie"":""112"",""lon"":""52.35517808603695045"",""lat"":""5.23052537961248998""}","info","Classics & Futures","Classics & Futures","Classics & Futures",,,,,,,,,"locatie",,,,,"[""Tuin"",""Buitententoonstelling""]",,
"[{""created"":""Thu Feb 03 2022 11:29:04 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Yuverta kantoor"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-06-15","07:00",,,"QAoxqN3xTHiaGCIbi0CH",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"OPTIE Désirée Louvet",,,,,,,,,"event",,,"2022-06-15","09:00",,,
"[{""created"":""Thu Feb 03 2022 10:09:53 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Floriade Expo 2022"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-19","19:00",,,"fgMd2WGghf1ppEilLObw",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Bijeenkomst Hybride Wageningen Universiteit",,,,,,,,,"event",,,"2022-05-19","09:09",,,
"[{""created"":""Thu Feb 03 2022 10:16:49 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Woningbouw atelier"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-23","19:00",,,"Iw4csWAi1ss6HDtDsMPq",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Congres",,,,,,,,,"event",,,"2022-05-23","09:00",,,
,"01:00",,,,,,,"JoISOrwZD04Uzxd11xoT",,"tuinbouw","40",,"{""cluster"":""40"",""locatie"":""40"",""lon"":""52.35751393735358761"",""lat"":""5.22994363453168987""}",,"TRI-groei in groen en Aeres","TRI-groei in groen en Aeres","TRI-groei in groen en Aeres",,"TRI-growth in green, a collaboration between training companies in the green sector.
Aeres, a green knowledge institution specifically focussed on education, research and commercial activities.","TRI-groei in groen, een samenwerkingsverband leerbedrijven in de groene sector. Onze missie: “opleiden tot succesvolle vakmensen in de groene leefomgeving” 
Aeres, een groene kennisinstelling met onderwijs, onderzoek en commerciële activiteiten als kerntaken.",,,,,,"locatie",,,,,"[""Tuin"",""Educatie""]",,
,"00:30",,"hortus-avenue",,,,,"l94lCyy8NdWhy1xCj0Wd",,"nationaal","126",,"{""cluster"":""126"",""locatie"":""126"",""lon"":""52.35529563645003037"",""lat"":""5.22770665342199958""}",,"Europarcs","Europarcs","Europarcs",,,"Het nieuwe ré-creëren: EuroParcs introduceert het concept ‘ré-creëren’, oftewel het nieuwe recreëren. Vakantie vieren in een innovatieve, maar duurzame woning. Ontdek onze twee recreatiewoningen: de Rebel House en de Just Nature!",,,,,,"locatie",,,,,"[""Architectuur"",""Expositie""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":5}]",
"[{""bedrijf"":""Floriade Expo 2022"",""created"":""Thu Feb 03 2022 10:15:31 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-20","07:00",,,"dCc8mbqSIFIo1eA9im2T",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Steering Committee ",,,,,,,,,"event",,,"2022-05-20","09:00",,,
,,,"hortus-avenue","2022-10-05","07:00",,,"LqUQTmDCbu5kKTee5P73",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Nationaal Tuinbouwcongres 2022",,,,,,,,,"event",,,"2022-10-05","21:00",,,
"[{""bedrijf"":""Tuinbouwondernemersprijs"",""created"":""Thu Feb 03 2022 09:37:04 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-04-21","07:00",,,"xVq02pYQxrtNZGQOSNZ5",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Tuinbouwondernerersprijs 2022",,,,,,,,,"event",,,"2022-04-21","09:00",,,
"[{""created"":""Thu Feb 03 2022 11:34:51 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Gemeente Súdwest-Fryslân "",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-06-16","19:00",,,"JpSLm6kRSTlUvkbIQ6bT",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Evenement",,,,,,,,,"event",,,"2022-06-16","09:00",,,
,"00:30",,,,,,,"rwwrZJlkkDUUIS7aoiGd",,"tuinbouw","17",,"{""cluster"":""17"",""locatie"":""17"",""lon"":""52.35945690678448017"",""lat"":""5.22434452120775461""}",,"J.M. van Berkel B.V. Hillegom ","J.M. van Berkel B.V. Hillegom ","J.M. van Berkel B.V. Hillegom ",,"
What’s flowering so beautifully over there? That’ll be J.M. van Berkel BV’s flower bulbs! This flower bulb trading company has been trading flower bulbs, including the stunning Allium flower bulbs, since 1957. This flower variety is characterised by the fact they’re real gems to look at.","Wat bloeit daar zo mooi? De bloembollen van J.M. van Berkel BV! Dit bloembollenhandelsbedrijf is al sinds 1957 bezig met het verhandelen van bloembollen, waaronder prachtige Allium bloembollen. Deze bloemensoort wordt gekenmerkt doordat het echte parels zijn om te zien.",,,,,,"locatie",,,,,"[""Tuin""]",,
,,,"hortus-avenue","2022-06-30","07:00",,,"mzb1lGTdRpwHYu1lBBoX",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"M.A. van der Zijpp",,,,,,,,,"event",,,"2022-06-30","21:00",,,
"[{""created"":""Thu Feb 03 2022 11:21:18 GMT+0100 (Central European Standard Time)"",""bedrijf"":""TFI Vitaler Groen"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-06-03","19:00",,,"LSLqyiMLjIUhSfXkbkZB",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Studiemiddag Nederlandse relaties ",,,,,,,,,"event",,,"2022-06-03","09:00",,,
,,,"urban-district",,,,,"FkS5GGmKKec7yqgi3eK8",,"internationaal","65",,"{""cluster"":""65"",""locatie"":""65"",""lon"":""52.35730244225562302"",""lat"":""5.22455256389905642""}",,,"Suriname","Suriname",,"The Greenest Place. Since Ever. ",,,,,,,"locatie",,,,,,,
,"00:30",,"green-island",,,,,"7Imcte2PNiAOIEiMEpBp",,"tuinbouw","39",,"{""cluster"":""39"",""locatie"":""39"",""lon"":""52.35761592392041308"",""lat"":""5.22937717245256195""}",,"Cultuurgroep Rozen","Cultuurgroep Rozen","Cultuurgroep Rozen",,"Roses, a jewel for your garden, with love. Experience the scents and colours of roses, and get inspired!  The flowers of these garden jewels are long-lasting, and rosebushes can withstand heat and drought, and stimulate biodiversity.","Roses, a jewel for your garden, with love. Beleef de geur en kleur van rozen en doe inspiratie op!  Deze tuinjuwelen hebben een lange bloeiperiode, kunnen tegen warmte en droogte én dragen bij aan de biodiversiteit.",,,,,,"locatie","[{""created"":""Wed Mar 09 2022 12:41:49 GMT+0100 (CET)"",""sdgType_select"":""sdg-15""}]",,,,"[""Buitententoonstelling"",""Tuin""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":5}]",
,,,"hortus-avenue","2022-10-06","07:00",,,"lwy0WPW2105jx6LBRWAf",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Groen Docentendag 2022",,,,,,,,,"event",,,"2022-10-06","21:00",,,
,,,"hortus-avenue","2022-06-29","19:00",,,"PuQSdqYq5CacTQbw3Mue",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"ENA Congres",,,,,,,,,"event",,,"2022-06-29","21:00",,,
,"01:00",,"hortus-avenue",,,,,"IKAxNi674d4L7dJhCSWd",,"horeca","152",,"{""cluster"":""151/152/153"",""locatie"":""151/152/153"",""lon"":""52.3541706103577269"",""lat"":""5.2312103614200165""}",,"Groups Restaurants","Groups Restaurants","Groups Restaurants",,,"Table service en buffet/freeflow. Tevens aantal gala's 
- cateraar Compass Group
",,,,,,"locatie",,,,,"[""Eten & Drinken""]",,
,,,"hortus-avenue","2022-09-17","07:00",,,"Bbzvz657eiFy0ssvSscz",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"EndPlasticSoup event ",,,,,,,,,"event",,,"2022-09-17","21:00",,,
"[{""created"":""Thu Feb 03 2022 09:47:11 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Louvre Hotels "",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-12","19:00",,,"I0FgUqEtkGY27Xs94Y2X",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Privé event Campanille hotel ",,,,,,,,,"event",,,"2022-05-12",,,,
"[{""created"":""Tue Feb 01 2022 10:30:47 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Provincie Flevoland"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-04-13","19:00",,,"hDM2VIMnrpjP0gGEqcrL",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Opening - Koninklijk bezoek",,,,,,,,,"event",,,"2022-04-13","09:00",,,
"[{""created"":""Thu Feb 03 2022 11:36:28 GMT+0100 (Central European Standard Time)"",""bedrijf"":""TFI Vitaler Groen"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-06-16","19:00",,,"gd1N8OCCJOLgW9frllTx",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Studiemiddag Nederlandse relaties",,,,,,,,,"event",,,"2022-06-16","09:00",,,
,"00:30",,"utopia-island",,,,,"GouOP4TLY2CSoOCGvMlY",,"tuinbouw","13",,"{""cluster"":""13"",""locatie"":""13"",""lon"":""52.3591413564831285"",""lat"":""5.22848091941941018""}","info","Tuinbranche Nederland","Tuinbranche Nederland","Tuinbranche Nederland",,"This cheerful little figure would like to extend a warm welcome to you! Come and sit down, take a good look around and enjoy the views. The climate buddy will help you to turn your garden into a green, healthy and cosy place. Plants, flowers, rain barrels, a green roof, bird houses: what can you do to create a greener world?","Dit vrolijke figuurtje heet jou welkom! Kom lekker zitten, kijk rond, geniet van het uitzicht. Het klimaat-maatje helpt je om je tuin groen, gezond en gezellig in te richten. Planten, bloemen, regentonnen, een groen dak, vogelhuisjes: wat kun jij doen voor een groenere wereld?",,,,,,"locatie",,,,,"[""Buitententoonstelling"",""Tuin""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":5}]",
,"00:30","https://floriade.com/nl/op-de-expo/nationale-paviljoens/kunstpaviljoen-flevoland/",,,,,,"w3XLazxlY6YMOtDbXwWW","kunstpaviljoen-flevoland-1642430824207","nationaal","192",,"{""cluster"":""192"",""locatie"":""192"",""lon"":""52.3524483927126667"",""lat"":""5.23162897979659736""}","info","M.","M.","M.",,"M. is not a museum, at least not yet. It's much more. Experience the future of nature with all your senses at M. Step into a wonderful world with immersive art and landscape art all around you. Magical, beautiful, and masterly.","M. is geen museum. Nog niet. Het is veel meer. Ervaar bij M. de toekomst van de natuur met al je zintuigen. Stap in een wonderlijke wereld met immersieve kunst en landschapskunst overal om je heen. Magisch, mooi en meesterlijk.",,,,,,"locatie",,,,,"[""Architectuur"",""Cultural discovery"",""Innovatief""]",,
"[{""created"":""Thu Feb 03 2022 10:24:37 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Floriade Expo 2022"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-06-02","19:00",,,"DVIAZKlCQF8BN3InOoyM",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"OPTIE Daniëlle PAuw",,,,,,,,,"event",,,"2022-06-02","09:00",,,
,,,,,,,,"7L9w0Y1zmtPrv3j9rSfk",,,"147",,"{""cluster"":""145/146/147"",""locatie"":""145/146/147"",""lon"":""52.35464128737631739"",""lat"":""5.22799512599341387""}",,,,"Het Congrespaviljoen",,,,,,,,,"locatie",,,,,,,
"[{""bedrijf"":""Pius Floris Boomverzorging "",""created"":""Thu Feb 03 2022 09:47:57 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-13","19:00",,,"QKf0WIhx3Tj7jCIVJBZO",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"I-Tree Congres",,,,,,,,,"event",,,"2022-05-13","09:00",,,
"[{""bedrijf"":""Floriade Expo 2022"",""created"":""Thu Feb 03 2022 11:35:45 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-06-16","19:00",,,"ArYTjJgQ2j4vqYrOEJOz",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Optie Carola van Wagtendonk",,,,,,,,,"event",,,"2022-06-16","09:00",,,
